rownum,site,latitude,longitude,building_type,roof_design,ceiling,occ_confirmed_by_owner,signs,sighted_heard,occ_bin,score
30,B,redacted,redacted,zmodern,triangle,Y,N,N,N,0,3
33,B,redacted,redacted,zmodern,triangle,NA,N,N,N,0,2
41,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
42,B,redacted,redacted,zmodern,triangle,NA,N,N,N,0,2
43,B,redacted,redacted,zmodern,triangle,NA,N,N,N,0,2
44,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
45,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
46,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
47,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
48,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
49,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
50,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
52,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
57,B,redacted,redacted,zmodern,triangle,NA,N,N,NA,0,2
59,B,redacted,redacted,zmodern,other,N,N,N,N,0,2
66,B,redacted,redacted,zmodern,triangle,Y,N,NA,NA,0,3
70,B,redacted,redacted,other,other,N,NA,N,N,0,0
71,B,redacted,redacted,other,triangle,N,NA,N,NA,0,1
72,B,redacted,redacted,other,triangle,N,NA,N,NA,0,1
74,B,redacted,redacted,other,triangle,N,NA,N,NA,0,1
75,B,redacted,redacted,other,other,N,N,N,NA,0,0
76,B,redacted,redacted,other,other,N,N,N,NA,0,0
78,B,redacted,redacted,other,other,N,NA,N,NA,0,0
79,B,redacted,redacted,other,other,N,N,N,NA,0,0
81,B,redacted,redacted,other,other,N,N,N,NA,0,0
82,B,redacted,redacted,other,other,N,N,N,NA,0,0
84,B,redacted,redacted,other,other,N,NA,N,NA,0,0
85,B,redacted,redacted,other,triangle,N,NA,N,NA,0,1
87,B,redacted,redacted,other,triangle,N,N,N,NA,0,1
88,B,redacted,redacted,zmodern,triangle,NA,N,NA,NA,0,2
89,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
92,B,redacted,redacted,other,other,N,NA,N,NA,0,0
93,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
95,B,redacted,redacted,other,triangle,N,N,NA,NA,0,1
96,B,redacted,redacted,other,other,N,N,N,N,0,0
98,B,redacted,redacted,other,other,N,NA,N,NA,0,0
99,B,redacted,redacted,other,other,N,N,N,NA,0,0
100,B,redacted,redacted,other,other,N,NA,N,NA,0,0
102,B,redacted,redacted,other,triangle,N,N,N,NA,0,1
103,B,redacted,redacted,other,triangle,N,N,N,N,0,1
104,B,redacted,redacted,other,triangle,N,N,N,N,0,1
107,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
108,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
109,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
110,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
111,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
112,B,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
113,B,redacted,redacted,zmodern,triangle,Y,N,NA,NA,0,3
116,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
117,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
121,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
122,B,redacted,redacted,zmodern,triangle,NA,N,NA,NA,0,2
123,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
124,B,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
125,B,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
126,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
127,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
128,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
129,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
130,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
131,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
133,B,redacted,redacted,zmodern,triangle,Y,N,NA,NA,0,3
134,B,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
135,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
136,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
137,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
138,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
139,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
140,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
141,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
142,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
143,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
144,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
145,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
146,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
147,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
148,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
149,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
150,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
151,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
152,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
153,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
154,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
155,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
158,B,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
160,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
161,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
162,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
163,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
164,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
165,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
166,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
167,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
168,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
169,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
170,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
171,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
174,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
175,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
177,B,redacted,redacted,other,other,N,NA,N,NA,0,0
178,B,redacted,redacted,zmodern,triangle,NA,N,NA,NA,0,2
179,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
180,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
181,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
182,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
183,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
184,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
185,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
186,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
187,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
188,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
189,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
190,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
192,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
193,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
194,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
195,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
196,B,redacted,redacted,zmodern,triangle,NA,N,N,NA,0,2
197,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
198,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
199,B,redacted,redacted,zmodern,triangle,NA,N,N,N,0,2
204,B,redacted,redacted,zmodern,other,N,N,N,NA,0,1
205,B,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
206,B,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
209,B,redacted,redacted,other,other,N,N,N,NA,0,0
211,B,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
212,B,redacted,redacted,zmodern,triangle,N,N,Y,N,1,4
213,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
216,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
217,B,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
218,B,redacted,redacted,zmodern,triangle,Y,N,N,N,0,3
219,B,redacted,redacted,zmodern,other,N,N,N,N,0,1
234,B,redacted,redacted,other,triangle,N,NA,N,N,0,1
31,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
32,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
34,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
233,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
235,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
236,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
237,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
238,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
239,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
240,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
241,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
242,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
243,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
653,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
654,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
655,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
656,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
657,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
658,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
659,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
660,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
661,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
662,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
663,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
664,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
665,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
666,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
667,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
668,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
669,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
670,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
671,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
672,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
673,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
674,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
675,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
676,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
677,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
678,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
679,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
680,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
681,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,0
682,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
683,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
684,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
685,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
686,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
687,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
688,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
689,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
690,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
691,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
692,B,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
282,C,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
283,C,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
284,C,redacted,redacted,other,triangle,N,NA,Y,N,0,0
285,C,redacted,redacted,other,other,N,NA,Y,N,0,0
286,C,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
287,C,redacted,redacted,zmodern,triangle,NA,Y,Y,Y,1,5
288,C,redacted,redacted,zmodern,triangle,NA,Y,Y,N,1,5
289,C,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
290,C,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
291,C,redacted,redacted,zmodern,triangle,NA,Y,N,N,1,4
292,C,redacted,redacted,other,other,N,Y,N,N,1,2
293,C,redacted,redacted,other,other,N,Y,N,N,1,2
294,C,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
296,C,redacted,redacted,zmodern,other,N,N,N,N,0,1
301,C,redacted,redacted,zmodern,triangle,N,N,Y,N,1,4
302,C,redacted,redacted,zmodern,triangle,NA,NA,N,N,0,2
304,C,redacted,redacted,zmodern,triangle,N,N,Y,NA,1,4
305,C,redacted,redacted,zmodern,triangle,N,N,Y,NA,1,4
306,C,redacted,redacted,other,other,N,N,NA,NA,0,0
307,C,redacted,redacted,other,other,N,N,NA,NA,0,0
308,C,redacted,redacted,other,other,N,N,NA,NA,0,0
309,C,redacted,redacted,zmodern,triangle,NA,N,N,N,0,2
310,C,redacted,redacted,other,other,N,NA,N,N,0,0
312,C,redacted,redacted,zmodern,other,N,N,N,NA,0,1
313,C,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
315,C,redacted,redacted,other,triangle,N,N,N,NA,0,1
316,C,redacted,redacted,other,other,N,N,N,NA,0,0
317,C,redacted,redacted,zmodern,other,N,N,N,NA,0,1
322,C,redacted,redacted,other,triangle,N,N,N,NA,0,1
323,C,redacted,redacted,other,triangle,N,N,N,NA,0,1
325,C,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
326,C,redacted,redacted,zmodern,triangle,NA,N,N,NA,0,2
329,C,redacted,redacted,other,other,N,N,N,N,0,0
330,C,redacted,redacted,other,other,N,N,N,N,0,0
332,C,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
334,C,redacted,redacted,other,other,N,Y,Y,N,0,0
337,C,redacted,redacted,other,other,N,N,NA,NA,0,0
339,C,redacted,redacted,other,other,N,NA,N,N,0,0
341,C,redacted,redacted,other,other,N,NA,N,N,0,0
344,C,redacted,redacted,zmodern,triangle,NA,N,NA,NA,0,2
345,C,redacted,redacted,zmodern,other,N,NA,N,N,0,1
346,C,redacted,redacted,zmodern,other,N,NA,N,N,0,1
350,C,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
351,C,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
352,C,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
355,C,redacted,redacted,zmodern,other,N,N,N,N,0,1
356,C,redacted,redacted,zmodern,other,N,N,N,N,0,1
357,C,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
358,C,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
359,C,redacted,redacted,other,other,N,N,NA,NA,0,0
360,C,redacted,redacted,other,other,N,N,NA,NA,0,0
363,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
364,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
367,C,redacted,redacted,other,other,N,N,NA,NA,0,0
368,C,redacted,redacted,other,triangle,N,N,N,NA,0,1
370,C,redacted,redacted,other,other,N,N,N,NA,0,0
371,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
372,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
373,C,redacted,redacted,zmodern,other,N,N,N,NA,0,1
374,C,redacted,redacted,zmodern,other,N,N,N,NA,0,1
375,C,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
376,C,redacted,redacted,other,other,N,NA,N,N,0,0
377,C,redacted,redacted,other,triangle,N,N,NA,NA,0,1
378,C,redacted,redacted,other,triangle,N,N,NA,NA,0,1
380,C,redacted,redacted,zmodern,triangle,NA,N,NA,NA,0,2
381,C,redacted,redacted,other,other,N,NA,N,NA,0,0
383,C,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
388,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
389,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
391,C,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
392,C,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
394,C,redacted,redacted,other,other,N,N,N,NA,0,0
395,C,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
396,C,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
398,C,redacted,redacted,other,other,N,NA,N,NA,0,0
399,C,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
401,C,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
403,C,redacted,redacted,other,other,N,NA,N,NA,0,0
404,C,redacted,redacted,other,other,N,NA,N,NA,0,0
405,C,redacted,redacted,zmodern,other,N,N,N,N,0,1
408,C,redacted,redacted,other,other,N,NA,N,N,0,0
410,C,redacted,redacted,other,triangle,NA,Y,N,N,1,3
422,C,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
423,C,redacted,redacted,other,other,N,NA,N,NA,0,0
431,C,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
432,C,redacted,redacted,zmodern,triangle,Y,NA,N,NA,0,3
433,C,redacted,redacted,zmodern,triangle,N,NA,Y,NA,1,4
295,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
415,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
416,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
417,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
418,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,0
419,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
420,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
421,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
424,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
425,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
426,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
427,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
428,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
429,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
430,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,3
434,C,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,2
1089,D,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
1090,D,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
1091,D,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
1093,D,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
1094,D,redacted,redacted,zmodern,other,N,Y,Y,Y,1,5
1095,D,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
1096,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1097,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1098,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1106,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1109,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1110,D,redacted,redacted,other,triangle,N,N,N,N,0,1
1111,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1112,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1115,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1116,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1117,D,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
1119,D,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
1120,D,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
1121,D,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
1123,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1127,D,redacted,redacted,other,other,N,N,N,N,0,0
1128,D,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
1129,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1130,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1133,D,redacted,redacted,zmodern,triangle,N,NA,N,N,0,2
1134,D,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
1135,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1136,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1139,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1140,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1142,D,redacted,redacted,zmodern,other,N,Y,Y,Y,1,5
1145,D,redacted,redacted,zmodern,other,N,NA,N,NA,0,1
1146,D,redacted,redacted,zmodern,other,N,N,N,N,0,1
1149,D,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
1150,D,redacted,redacted,zmodern,triangle,NA,NA,N,NA,0,2
693,E,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
694,E,redacted,redacted,other,triangle,N,Y,Y,Y,1,5
695,E,redacted,redacted,other,triangle,N,Y,Y,Y,1,5
696,E,redacted,redacted,other,triangle,N,Y,Y,N,1,5
697,E,redacted,redacted,other,other,N,Y,Y,N,0,0
698,E,redacted,redacted,other,triangle,Y,NA,Y,N,0,0
699,E,redacted,redacted,other,triangle,N,N,Y,N,1,3
700,E,redacted,redacted,zmodern,triangle,N,N,N,N,0,2
702,E,redacted,redacted,other,triangle,N,N,N,N,0,1
705,E,redacted,redacted,other,triangle,N,N,N,N,0,1
706,E,redacted,redacted,other,triangle,N,N,N,N,0,1
708,E,redacted,redacted,other,triangle,N,N,N,N,0,1
710,E,redacted,redacted,other,triangle,N,N,Y,N,0,0
713,E,redacted,redacted,other,triangle,N,N,N,N,0,1
716,E,redacted,redacted,other,triangle,N,N,N,N,0,1
717,E,redacted,redacted,other,other,N,N,N,N,0,0
719,E,redacted,redacted,other,triangle,N,N,N,N,0,1
720,E,redacted,redacted,other,triangle,N,N,N,N,0,1
721,E,redacted,redacted,other,triangle,N,NA,N,N,0,1
722,E,redacted,redacted,other,triangle,N,N,N,N,0,1
723,E,redacted,redacted,other,other,N,N,N,N,0,0
725,E,redacted,redacted,other,other,N,NA,N,NA,0,0
727,E,redacted,redacted,other,other,N,NA,Y,N,1,2
728,E,redacted,redacted,other,triangle,N,NA,N,N,0,1
729,E,redacted,redacted,other,other,N,NA,N,NA,0,0
730,E,redacted,redacted,other,other,N,N,N,NA,0,0
733,E,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
734,E,redacted,redacted,zmodern,triangle,N,N,N,NA,0,2
735,E,redacted,redacted,other,other,N,N,N,NA,0,0
736,E,redacted,redacted,other,triangle,N,NA,N,N,0,1
549,F,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
550,F,redacted,redacted,zmodern,triangle,NA,Y,Y,Y,1,5
551,F,redacted,redacted,zmodern,triangle,Y,Y,Y,NA,0,0
552,F,redacted,redacted,zmodern,triangle,N,Y,NA,NA,0,0
553,F,redacted,redacted,zmodern,triangle,Y,N,Y,NA,0,0
554,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
555,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
556,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
557,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
558,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
559,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
560,F,redacted,redacted,zmodern,triangle,Y,Y,NA,NA,0,0
